URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,Testdatum,Platformgebruik
http://www.nationaleombudsman.nl,Overheid,NO,,,58566,,nee,ja,nee,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://www.eherkenning.nl,Rijksoverheid,BZK,Logius,Informatievoorzieningen,58443,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,DICTU Platform (EZK/DICTU)
http://www.pns.nl,Rijksoverheid,VWS,RIVM,,58303,nee,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,nee,nee,nee,13-2-2023,
http://www.paisesbajosytu.nl,Rijksoverheid,BUZA,,,57147,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.paysbasmondial.nl,Rijksoverheid,BUZA,,,57000,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.hulpmiddelenwijzer.nl,Rijksoverheid,VWS,,Kerndepartement/LZ,56431,nee,nee,nee,nee,nee,waarschuwing,waarschuwing,ja,ja,21-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://www.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,,53685,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.hoewerktnederland.nl,Rijksoverheid,SZW,,SG/C,53554,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.mobiliteitsbank.nl,Rijksoverheid,BZK,P-direkt,,46687,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Carriere Sites Overheid (BZK)
http://www.ep-online.nl,Rijksoverheid,EZK,RVO,,45974,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.bodemloket.nl,Rijksoverheid,IenW,RWS,WVL,45167,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.waardigheidentrots.nl,Rijksoverheid,VWS,,Kerndepartement/LZ,44205,nee,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,ja,nee,13-2-2023,
http://www.loketgezondleven.nl,Rijksoverheid,VWS,RIVM,,43106,nee,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,waarschuwing,nee,nee,13-2-2023,
http://www.dus-i.nl,Rijksoverheid,VWS,,Kerndepartement/DUS-I,43005,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.digitaleoverheid.nl,Rijksoverheid,BZK,,,42879,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.ncsc.nl,Rijksoverheid,JenV,NCSC,,40203,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.atlasleefomgeving.nl,Rijksoverheid,IenW,,BSK/DGMI,39926,ja,ja,ja,ja,ja,waarschuwing,ja,ja,info,21-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.justid.nl,Rijksoverheid,JenV,Justid,,37863,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.zorgvannu.nl,Rijksoverheid,VWS,,Kerndepartement/DCO,37227,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.dwangindezorg.nl,Rijksoverheid,VWS,,Kerndepartement/LZ,36801,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.transplantatiestichting.nl,Overheid,VWS,,Kerndepartement/GMT,36355,,nee,ja,ja,nee,waarschuwing,ja,ja,info,20-2-2023,nee,nee,nee,nee,nee,nee,ja,13-2-2023,
http://www.agroberichtenbuitenland.nl,Rijksoverheid,LNV,EIA,,35284,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.kinderbescherming.nl,Rijksoverheid,JenV,RVDK,,35016,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.vaarweginformatie.nl,Rijksoverheid,IenW,RWS,,34658,ja,nee,nee,ja,nee,waarschuwing,waarschuwing,waarschuwing,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.eentegeneenzaamheid.nl,Rijksoverheid,VWS,,Kerndepartement/DMO,34608,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.eigenkracht.nl,Overheid,VWS,DA,,34105,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.natura2000.nl,Rijksoverheid,LNV,,DG NVLG N,33878,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,ja,ja,nee,ja,13-2-2023,
http://www.mijneindexamen.nl,Rijksoverheid,OCW,CVTE,,33255,nee,nee,nee,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,,ja,nee,nee,13-2-2023,
http://www.rijksvastgoedbedrijf.nl,Rijksoverheid,BZK,RVB,,32513,info,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.zetookdeknopom.nl,Rijksoverheid,EZK,,,31518,ja,nee,nee,nee,ja,waarschuwing,waarschuwing,waarschuwing,info,21-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
